ID,Name:,Hersteller:,Erzeugnis aus:,Region:,Wein:,Jahrgang:,Rebsorte:,Qualität:,Alkohol in %:,Geschmack:,Allergene:,Ausbauart:,Trinktemperatur in °C:,Trinkempfehlung:,Verschluß:,Auszeichnungen:,Paßt zu:,Lage:,Boden:,Essen:,Herstellung:,Dekantieren:,Säure g/l:,Restzucker g/l:,Produkt aus biologischem Anbau:,Biokontrollstelle:,Diverses:,Zutaten:,Verkäufer:,Verkostungsnotiz:
1,   Château Sansonnet   2019 Château Sansonnet Saint Emilion Grand Cru Classé ," Château Sansonnet, 1, lieu-dit Sansonnet, F-33330 Saint Emilion ", Frankreich ," Bordeaux, Saint-Emilion ", Rotwein ,2019," 85% Merlot, 8% Cabernet Franc, 7% Cabernet Sauvignon ", AOC , 13.5 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , 2025 - 2040 , Naturkork , Robert Parker ,,,,,,,,,,,,,1," Lisa Perrotti-Brown, Wine Advocate, Juni 2020: „Opaque garnet-purple in color, the 2019 Sansonnet comes skipping out of the glass with vibrant notes of Morello cherries, blueberry compote, mulberries and warm black plums plus hints of raspberry leaves, Sichuan pepper, cassia and cumin seed with a waft of tree bark. The full-bodied palate is packed with crunchy black and red fruits, framed by exquisitely ripe, rounded tannins and bold freshness, finishing very long and mineral laced. Beautiful!“ Vinum, Bordeaux Extra Primeur 2019, September 2020: „Superbe, umwerfend fruchtige Aromatik, Brombeere und Kirsche; voller Ansatz, dichter, fleischiger Bau, einmalig feinkörniges und doch saftiges Tannin, lange Finale; einmalige Präzision, zeitgemässe, gelungene Interpretation eines grossen Terroirs.“ Peter Moser, Falstaff Bordeaux Primeur 2019: „Tiefdunkles Rubingranat, opaker Kern, violette Reflexe, zarte Randaufhellung. Mit zarter Kräuterwürze unterlegte frische Beerenfrucht, tabakige Nuancen, zart nach Kirschen. Mittlere Komplexität, rotbeerige Nuancen, dezente Tannine, mineralisch, wirkt leichtfüßig, vielseitiger Speisenbegleiter.“"
2,"   Cà dei Frati   2015 Amarone della Valpolicella DOC ""Pietro dal Cero"" "," Cà dei Frati, Via Frati 22, 25019 Lugana di Sirmione ", Italien , Lombardei , Rotwein ,2015," Corvina, Corvinone, Croatina, Rondinella "," Amarone di Valpolicella, DOC ", 16.0 , trocken , Enthält Sulfite ,, 16 - 18 , bis 2035 , Naturkork , Wein Direktimport ," Käse., Schmorbraten, Wild ",Luximan in Pian di Castigné,Kalkreich mit Bruchstein und Lehm,"Am besten zu gehaltvollen Schmorbraten, zu Wildgerichten und zu gereiftem Käse.",,,,,,,,,1," Bereits das dunkle, fast schwarze Rubinrot des Weines kündigt ein Feuerwerk der Aromen an. In der Nase und am Gaumen hat er eine üppige Frucht, Aromen unter anderem von feinherben Schattenmorellen, Rosenblüten, eingelegten Früchten, Schokolade und Kaffee. Etwas Sternais und Minze sorgen für blumige Nuancen und große Finesse. Der Wein ist kraftvoll, er ist dicht und harmonisch, feine balsamische Würze rundet den grandiosen Geschmackseindruck perfekt ab."
3,   Cà dei Frati   2019 Ronchedone Rosso Benaco Besciano IGT 375 ml ," Cà dei Frati, Via Frati 22, 25019 Lugana di Sirmione ", Italien , Lombardei , Rotwein ,2019," Cabernet Sauvignon, Marzemino, Sangiovese ", IGT , 14.0 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , 2029+ , Naturkork , Wein Direktimport ," Pasta, Suppe, Wild ",Ronchedone und La Tür bei Desenzano del Garda,Kalkhaltige Lehmböden mit sandiger Auflage,"Zu Fleischgerichten, Wildgeflügel, Wild, Pasta mit Fleischsugo von Wild und Rind, kräftigen Fleischsuppen italienischer Art","Maischegärung im Edelstahltank, dann 14 Monate Ausbau im Barrique",,,,,,,,1," Der 2019 Ronchedone hat eine würzige, intensiv fruchtige Nase mit Aromen unter anderem von reifen Kirschen, Preiselbeeren, Cranberrys, Brombeeren und Hagebutte.Am Gaumen ist er sehr saftig, druckvoll und fordernd mit intensiven Fruchtaromen. Die gut eingebundene, erfrischende Säure und das präsente, aber reife und samtige Tanin machen den Genuß perfekt."
4,   Domaine de la Janasse   2020 Côtes du Rhône Villages 'Terre d'Argile' ," Domaine de la Janasse, Domaine de La Janasse, Christophe et Isabelle Sabon, 27, Chemin du Moulin, 84350 Courthezon ", Frankreich ," Rhône, südlicher Bereich ", Rotwein ,2020," Carignan, Grenache Noir, Mourvèdre/Monastrell, Syrah ", Côtes du Rhône Villages , 14.5 , trocken , Enthält Sulfite , großes Holzfaß , 14 - 18 , 2027+ , Kork , Wein Direktimport ," Käse, jung, Lamm, Rind ",,,,,,,,,,,,1," Was für ein wunderbarer Korken! Länge 54 mm, aus einem Stück, das ist Grand Cru Niveau. Der Duft ist herrlich, dezent Zedernholz, etwas Portwein, warm und zart, ein Tick Muskatnuß, und das war erst der Korken. Leise gluckert der kirschrote 2020 Côtes du Rhône Villages 'Terre d'Argile' ins Glas, rubinrote Reflexe deuten auf dezente Reife hin. Die Nase ist frisch, hier präsente Aromen von Süßkirsche, Brombeere, Cassis, ganz klassisch Côtes du Rhône. Dazu noch Heidelbeere, Sauerkirsche, nach ein wenig Luftkontakt Pflaume, Thymian, weißer Pfeffer, Eukalyptus, Süßholz, Tapenade und nasser Stein. Würzig, aber nicht zu dick, das riecht so wunderbar „old school“, wie es vor 25 Jahren bei jedem guten Côtes du Rhône der Fall war.Am Gaumen startet der 2020 Terre d’Argile würzig, aber nicht marmeladig dick, hier setzen sich Mourvèdre und Syrah perfekt in Szene und sorgen für die elegante, anregende Struktur, ergänzt von kühler Mineralik. Mürbe, sanfte Gerbstoffe und die reife Säure ergänzen die harmonische Struktur perfekt. Das ist ein wunderbarer Wein, unglaublich trinkig, sehr fein als Solist, aber auch perfekt zur mediterranen Gemüseküche oder Fleisch vom Grill."
5,   Domaine de la Janasse   2020 Côtes du Rhône rouge ," Domaine de la Janasse, Domaine de La Janasse, Christophe et Isabelle Sabon, 27, Chemin du Moulin, 84350 Courthezon ", Frankreich ," Rhône, südlicher Bereich ", Rotwein ,2020," Carignan, Cinsault, Grenache Noir, Mourvèdre/Monastrell, Syrah ", AOC , 14.5 , trocken , Enthält Sulfite , 1200 l Fuder , 14 - 18 , 2027+ , Naturkork ,,,bei Courthézon,"Sand, Kiesel, Kalkstein","Gegrilltes Lamm, Hirschkalbrücken, Ente",Ausbau im Fuderfaß, etwa 30 Minuten ,,,,,,,1," Der 2020 Côtes du Rhône Rouge entwickelt nach längerem Luftkontakt eine wunderbare, intensive Aromatik. Deutlich sind die frischen Aromen von reifen Brombeeren und Sauerkirschen zu erkennen, gefolgt von zartem Süßmandelaroma, Hagebutte, Rauch und etwas Süßholz. Dazu kommt noch eine Prise Nelke, Leder und weißer Pfeffer.Am Gaumen ist der Wein frisch, saftig und rollt geschmeidig über die Zunge Richtung Rachen. Die Gerbstoffe sind frisch und haben eine seidige Textur, die Fruchtsäure ist präsent aber harmonisch, ein ganz feiner süßer Kern schließt den ersten Eindruck perfekt ab."
6,   Domaine de la Janasse   2019 Terre de Bussière IGP ," Domaine de la Janasse, Domaine de La Janasse, Christophe et Isabelle Sabon, 27, Chemin du Moulin, 84350 Courthezon ", Frankreich ," Rhône, südlicher Bereich ", Rotwein ,2019," Merlot, Syrah, Grenache Noir, Cabernet Sauvignon ", Principauté-d'Orange IGP  , 14.5 , trocken , Enthält Sulfite ," 30% Barrique, großes Holzfaß ", 14 - 18 , 2027+ , Kork , Wein Direktimport ,,,,,, etwa 30 Minuten ,,,,,,,1," Beim 2019 Terre de Bussière gibt es die gewohnt perfekte Kombination aus weicher, saftig-frischer Merlotfrucht mit der lebhaft-würzigen Frucht des Syrah. In der Nase viel dunkle Frucht, reife Kirsche, schwarze Johannisbeere und Schokolade, im Hintergrund etwas Kaffee und Herbes de Provence. Am Gaumen ist er sehr harmonisch, Säure und Gerbstoff sind perfekt dosiert und in die warme, weiche Frucht integriert. Ein herrlicher Gaumenschmeichler mit Niveau.Nicht nur zur mediterranen Küche ein Genuß, auch solo macht er eine gute Figur."
7,   Domaine de la Janasse   2019 Châteauneuf-du-Pape Rouge ," Domaine de la Janasse, Domaine de La Janasse, Christophe et Isabelle Sabon, 27, Chemin du Moulin, 84350 Courthezon ", Frankreich ," Rhône, südlicher Bereich ", Rotwein ,2019," Cinsault, Grenache, Mourvèdre/Monastrell, Syrah ", Châteauneuf-du-Pape , 15.0 , trocken , Enthält Sulfite ," 1200 l Fuder, Barriquefaß ", 14 - 18 , 2024 - 2040 , Naturkork , Wein Direktimport ,,Diverse Terroirs auf dem Plateau de La Crau,"Sand, Kiesel, roter Kalkstein",,"Ausbau zu 80% Fuderfaß, 20% im Barriquefaß, davon ein Drittel neues Holz", etwa 30 Minuten ,,,,,,,1," Die wunderbare dunkle Farbe des 2019 Chateauneuf du Pape ist schon sehr verlockend, die Nase mit ausgeprägten Aromen von reifen Brombeeren, roten Johannisbeeren, Tapenade, reifen Pflaumen und Süßkirschen, ergänzt von Veilchenduft, zieht einen vollständig in den Bann. Am Gaumen mit seidig-kraftvollem Auftakt und überraschender Eleganz. Die wunderbar harmonische Struktur, kombiniert mit seidigen Gerbstoffen, der saftigen Frucht und feinen, leicht salziger Mineralik gehört mit zum Besten, was diese Region an Weinen hervorbringt."
8,"   Domaine de la Janasse   2019 Châteauneuf-du-Pape rouge ""Cuvée Vieilles Vignes"" "," Domaine de la Janasse, Domaine de La Janasse, Christophe et Isabelle Sabon, 27, Chemin du Moulin, 84350 Courthezon ", Frankreich ," Rhône, südlicher Bereich ", Rotwein ,2019," Grenache Noir, Mourvèdre/Monastrell, Syrah "," AOC, Premiumwein ", 15.5 , trocken , Enthält Sulfite ," 600 l Halbstückfaß, 1200 l Fuder ", 14 - 18 , 2027 - 2047 , Naturkork ,,,4 Parzellen mit untersch. Böden,"Kiesel, roter Lehm, kiesig-sandiges Schwemmland, Sand-Kalk",,"Ausbau zu 75% Fuderfaß, 25% im 600 l Faß", etwa 60 Minuten ,,,,,,,1,
9,   Markus Schneider   2020 Black Print ," Markus Schneider, Markus Schneider GbR, Am Hohen Weg 1, 67158 Ellerstadt ", Deutschland , Pfalz , Rotwein ,2020," Blaufränkisch/Lemberger, Cabernet Dorsa, Cabernet Sauvignon, Merlot ", Qualitätswein , 14 , trocken , Enthält Sulfite , großes Holzfaß , 14 - 18 , 2025+ , Naturkork ,,,,,,, etwa 30 Minuten ,,,,,,,1," Der 2020 Black Print ist tiefdunkel mit fast schwarzem Kern und intensiven violetten Reflexen, in der Nase hat der Black Print deutliche Aromen von Süßkirschen, Brombeeren, schwarze Johannisbeeren, dazu weitere dunkle Beeren, er ist wunderbar frisch und hat eine perfekte Struktur.Am Gaumen ist er saftig, frisch, zupackend, dicht und würzig. Bei aller Konzentration bleibt der Wein überraschend elegant, seidige, reife Tanine und die reife mittlere Fruchtsäure machen in bereits jetzt zu einem unglaublich verführerischen Rotwein."
10,   Weingut Metzger   2019 Schwarzer trocken ," Weingut Metzger, Uli Metzger Langgasse 34, 67269 Grünstadt-Asselheim ", Deutschland , Pfalz , Rotwein ,2019," Cabernet Sauvignon, Merlot, Cabernet Franc ", Qualitätswein , 14.5 , trocken , Enthält Sulfite ,, 14 - 18 , bis 2029 , Naturkork ,,,,"Kalkstein, Lehm","Wild, Wildschwein, Rind",, etwa 30 Minuten , 5.7 , 0.5 ,,,,,1," In der Nase hat der dunkel gefärbte 2019 Schwarzer intensive Aromen von Cassis und Pflaumen ergänzt von gewürzigen Aromen von Pfeffer und Piment.Am Gaumen intensiver Auftakt, gefolgt von kraftvoller Struktur und erstaunlich reifen, weichen Gerbstoffen. Hier wieder die feine Pfefferwürze, ergänzt von etwas Schokolade und Kaffeepulver. Kraftvoll und intensiv bis in den langen Abgang hinein, er paßt perfekt zu dunklem Fleisch vom Grill oder aus dem Ofen.  "
11,   Podere Le Cinciole   2017 Petresco IGT Toscana ," Podere Le Cinciole, Via Case Sparse 83 50022 Panzano in Chianti, Firenze, Italien ", Italien , Toscana , Rotwein ,2017, Sangiovese , Toscana IGT , 14.5 , trocken , Enthält Sulfite ,, 14 - 18 , 2025 - 2047 , Naturkork , Antonio Galloni Vinous ,,,,,,,,, Bio nach EU Ökoverordnung ,IT BIO 014,,,1," Antonio Galloni, Vinous, September 2021: „The 2017 Petresco is a stunning, utterly captivating wine. In a vintage that produced so many rich, opulent reds, Petresco is vertical in build and endowed with tremendous energy. Black cherry, spice, leather, tobacco, licorice and dried flowers open with a bit of coaxing. All the elements are so well balanced. The purity of the fruit is breathtaking. What a wine!“"
12,   Podere Le Cinciole   2018 Chianti Classico DOCg ," Podere Le Cinciole, Via Case Sparse 83 50022 Panzano in Chianti, Firenze, Italien ", Italien , Toscana , Rotwein ,2018, Sangiovese , DOCG , 14.5 , trocken , Enthält Sulfite ,, 14 - 18 , 2024 - 2038 , Naturkork , Antonio Galloni Vinous ,,,,,,,,, Bio nach EU Ökoverordnung ,IT BIO 014,,,1," Antonio Galloni, Vinous, September 2021: „The 2018 Chianti Classico is a wine of magnificent purity and class. Lavender, sage, tobacco and cedar open first, leading to a core of dark red/purplish fruit. Savory and earthy, with terrific persistence, the 2018 has so much going on. Readers will find a deep, layered Chianti Classico full of character. The 2018 will benefit from a few years in bottle, as it is a bit tight at this stage.“"
13,   Podere Le Cinciole   2016 Chianti Classico Gran Selecione Aluigi ," Podere Le Cinciole, Via Case Sparse 83 50022 Panzano in Chianti, Firenze, Italien ", Italien , Toscana , Rotwein ,2016, Sangiovese , DOCG , 14.5 , trocken , Enthält Sulfite ,, 14 - 18 , 2024 - 2041 , Naturkork , Antonio Galloni Vinous ,,,,,,,,, Bio nach EU Ökoverordnung ,IT BIO 014,,,1," Antonio Galloni, Vinous, September 2021: „The 2016 Chianti Classico Gran Selezione Aluigi Campo ai Peri is fabulous. Bright, vibrant and intensely aromatic, the 2016 is total seduction right out of the glass. Intense floral/spiced aromatics, red/purplish berry fruit, spice, tobacco and mocha all race out of the glass in a wine that brilliantly marries power with finesse. The Aluigi is a Gran Selezione for the first time in 2016. It's quite simply one of the finest wines I have tasted from Le Cinciole.“"
14,   Podere Le Cinciole   2016 Camalaione IGT Toscana ," Podere Le Cinciole, Via Case Sparse 83 50022 Panzano in Chianti, Firenze, Italien ", Italien , Toscana , Rotwein ,2016," Cabernet Sauvignon, Merlot, Syrah ", Toscana IGT , 14.5 , trocken , Enthält Sulfite ,, 14 - 18 , 2024 - 2036 , Naturkork , Antonio Galloni Vinous ,,,,,,,,, Bio nach EU Ökoverordnung ,IT BIO 014,,,1," Antonio Galloni, Vinous, September 2020: „The 2016 Camalaione is a worthy follow up to the 2015. For Camalaione, proprietors Luca Orsini and Valeria Viganò blend Cabernet Sauvignon with Syrah and Merlot, an approach that works so well here.The 2016 is wonderfully alluring, even if it is very much tightly wound in the early going. Inky dark fruit, spice, new leather, licorice, menthol and dried herbs emerge with a bit of time in the glass. Silky and sleek, with mid-weight structure, Camalaione is absolutely gorgeous in 2016.“"
15,   Podere Le Cinciole   2017 Petresco IGT Toscana Magnum ," Podere Le Cinciole, Via Case Sparse 83 50022 Panzano in Chianti, Firenze, Italien ", Italien , Toscana , Rotwein ,2017, Sangiovese , Toscana IGT , 14.5 , trocken , Enthält Sulfite ,, 14 - 18 , 2025 - 2047 , Naturkork ,,,,,,,,,, Bio nach EU Ökoverordnung ,IT BIO 014,,,1," Antonio Galloni, Vinous, September 2021: „The 2017 Petresco is a stunning, utterly captivating wine. In a vintage that produced so many rich, opulent reds, Petresco is vertical in build and endowed with tremendous energy. Black cherry, spice, leather, tobacco, licorice and dried flowers open with a bit of coaxing. All the elements are so well balanced. The purity of the fruit is breathtaking. What a wine!“"
16,"   Manincor, Bioweingut   2019 Lagrein 'Rubatsch' "," Manincor, Bioweingut, St. Josef am See 4, I-39052 Kaltern ", Italien , Südtirol/Alto Adige , Rotwein ,2019, Lagrein , DOC , 13 , trocken , Enthält Sulfite , Holzfaß , 14 - 18 , 2028+ , Naturkork , Falstaff ," gebratenem dunklen Fleisch, Grillfleisch, kräftigen Vorspeisen, Käse, reif, Wildgericht ",,,,,, 5.9 , 1.3 , Zertifizierung Demeter ,IT BIO 013,,,1," Der 2019 Lagrein Rubatsch ist schwarz wie die Nacht, allerdings mit purpurfarbenen Reflexen. In der Nase satte Aromen von reifen Pflaumen, reifen Süßkirschen, Brombeeren, Süßholz, Holunder, und etwas Karamel. Am Gaumen samtig weicher Auftakt, gefolgt von präsenten, aber reifen Gerbstoffen, bereits jetzt ist der Wein ausgesprochen harmonisch und präsent, sollte aber auf jeden Fall dekantiert und in großen Bordeauxgläsern serviert werden. Falstaff Weinguide Südtirol 2021/22: „Leuchtend klares Purpur mit granatroten Akzenten. Öffnet sich mit wohligen Noten von zartem Nougat, Süßholz, Minze und eingelegten Waldhimbeeren, dazu weißer Pfeffer und Kardamom. Spannt einen feinen Bogen, saftiger Schmelz, gut integriertes feinstoffiges Tannin, ausgewogen im Körper, zarte Cremigkeit, zeigt komplexes Spiel, hallt lange nach.“"
17,"   Manincor, Bioweingut   2019 Dolomiti Rosso 'Réserve del Conte' "," Manincor, Bioweingut, St. Josef am See 4, I-39052 Kaltern ", Italien , Südtirol/Alto Adige , Rotwein ,2019," Cabernet, Lagrein, Merlot ", IGT , 13.5 , trocken , Enthält Sulfite , Holzfaß , 14 - 18 , bis 2026 , Naturkork , Falstaff ," gebratenem dunklen Fleisch, Grillfleisch, kräftigen Vorspeisen ",,,,"Acht Stunden Maischestandzeit, danach Kelterung und spontane Gärung im Holzfaß, 9 Monate Ausbau im Holzfaß",,,, Zertifizierung Demeter ,IT BIO 013,,,1," In der Nase ist der 2019 Réserve del Conte betont fruchtig, Cassis-, Heidel-, Brombeer- und Himbeeraroma sind sehr präsent, dazu kommt etwas Süßholz und frisch gemahlener weißer und schwarzer Pfeffer. Am Gaumen startet der Wein würzig-samtig, mit saftiger, leicht gereifter Frucht und präsenten, aber betont feinkörnigen Gerbstoffen. Alles zusammen sorgt für einen ausgesprochen harmonischen Trinkfluß. Falstaff Weinguide Südtirol 2021/22: „Satt funkelndes Rubin mit schimmerndem Rand. Erst etwas verhalten, öffnet sich dann mit Noten nach reifen Himbeeren, Brombeerkonfit, feines Zedernholz, Brotkruste, Mandeln und Bergamotte im Nachhall. Zieht saftig über die Zunge, geradlinig in Ansatz und Verlauf, gut integriertes griffiges Tannin, mit sattem Fruchtschmelz unterlegt, betont langer Ausklang, feingliedriger Trinkfluss.“   "
18,"   Manincor, Bioweingut   2020 Vernatsch 'Der Keil' "," Manincor, Bioweingut, St. Josef am See 4, I-39052 Kaltern ", Italien , Südtirol/Alto Adige , Rotwein ,2020, Vernatsch , Kalteresee DOC Classico Superiore , 13 , trocken , Enthält Sulfite , Holzfaß , 14 - 16 , 2025+ , Naturkork , Falstaff ," gebratenem Fisch , hellem Fleisch, Pasta, Speck ",,,,,,,, Zertifizierung Demeter ,IT BIO 013,,,1," Falstaff, Weinguide Südtirol 2021/22: „Brillantes, funkelndes klares Rubinrot. In der Nase fein gezeichnet, nach Himbeeren und satten Kirschen, unterlegt von sanft blumigen Nuancen. Am Gaumen sehr fruchtbetont mit klarem Fruchtkern und salzigem Nerv, spannt sich schön auf, leichtfüßig und elegant, im Nachhall knackig und grünwürzig.“"
19,   Farnese Vini srl   2020 Primitivo Puglia 'I Muri' ," Farnese Vini srl, Farnese Vini srl, Castello Caldora, 66026 Ortona / Chieti ", Italien , Abruzzen , Rotwein ,2020, Primitivo , IGP Puglia , 14 , trocken , Enthält Sulfite , Edelstahltank , 14 - 18 , bis 2024 , Kork ,," Antipasti, Käse, Pizza, Rind, Salami ",,,"Antipasti, Salami, Pizza, Rind- und Wildbraten, mittelalte Käse",Edelstahltank,,,,,,,,1," Der 2020 Primitivo 'I Muri' hat ein intensives Rubinrot mit violetten Reflexen. In der Nase ist er klar und frisch, mit Aromen von Süßkirsche, Blaubeere, Brombeere, etwas Schokolade und roter Konfitüre.Am Gaumen frischer und saftiger Auftakt, gefolgt von feinen Taninen, sanfter Säure und harmonischer Struktur. Der Wein ist kein Riese, sondern ein wunderbarer, geschmacklich eher leichter Wein zum „wegsüppeln“. "
20,   Wein Direktimport Probierpaket   Probierpaket Bourgogne Rouge & Blanc ," Wein Direktimport Probierpaket , Die Herstelleradressen finden Sie bei den Artikeln. ", Frankreich , Bourgogne ," Rotwein, Weißwein ",,,,, trocken , Enthält Sulfite ,,,, Kork ,,,,,,,,,,,,,,1,
21,   Biscardo   2019 Neropasso Rosso Veneto ," Biscardo, Via Avv. Ceola, 20 - IT-37047 San Bonifacio ", Italien , Veneto , Rotwein ,2019," Cabernet Sauvignon, Corvina, Corvinone ", Rosso Veneto IGT , 13.5 , halbtrocken , Enthält Sulfite , Edelstahltank , 14 - 18 , bis 2024 , Kork ,," Antipasti, Käse, Rind, Salami ",,,Perfekt zu vegetarischen Aufläufen mit Tomaten und Auberginen oder Braten vom Wild und Rind.,Edelstahltank,, 5.4 , 14.6 ,,,,,1," Der 2019 Neropasso hat eine intensive, rubinrote Farbe. In der Nase würzig, mit Aromen von Süß- und Sauerkirschen, Pflaumenkompott, Heidel- und Brombeeren, ergänzt von etwas Bitterschokolade und Vanille.Am Gaumen seidiger Auftakt, intensive Aromatik, deutliche Süße und reife, sanfte Gerbstoffe. Perfekt zu vegetarischen Aufläufen mit Tomaten und Auberginen oder Braten vom Wild und Rind."
22,   Markus Schneider   2017 STEINSATZ Rotwein ," Markus Schneider, Markus Schneider GbR, Am Hohen Weg 1, 67158 Ellerstadt ", Deutschland , Pfalz , Rotwein ,2017," Cabernet Franc, Cabernet Sauvignon, Merlot ", Qualitätswein , 14.5 , trocken , Enthält Sulfite , Holzfaß , 14 - 18 , bis 2030 , Naturkork ,,,,,,, etwa 30 Minuten , 5.1 , 5.1 ,,,,,1,
23,   Château Ferran   2019 Château Ferran Pessac-Léognan ," Château Ferran, Route de Lartigue, F-33650 Martillac ", Frankreich ," Bordeaux, Pessac-Léognan ", Rotwein ,2019," Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot ", AOC , 14.0 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , 2026 - 2038 , Naturkork ," Robert Parker, Wein Direktimport "," Lammbraten, Rindersteaks ",,,,, etwa 60 Minuten ,,,,,,,1," Der dunkelfarbene 2019 Château Ferran Rouge Pessac Léognan duftet wunderbar nach Cassis, Brombeere, Espressokaffee, dunkler Schokolade, Vanille, feiner Holzwürze und frischer Heidelbeere. Dazu ist er ätherisch mit einem Hauch Eukalyptus und dezenter Kräuterwürze.Am Gaumen saftiger Auftakt, ausgeprägte und frische Aromatik, gut eingebundene Gerbstoffe, reife weiche Säure, feine Würze. Die perfekte Struktur wird gekrönt von einer guten Dichte und Länge. Dekantieren Sie den Wein nach Möglichkeit eine Stunde vor dem Genuß. Lisa Perrotti-Brown, Wine Advocate, Juni 2020: „The deep garnet-purple colored 2019 Ferran comes bounding out of the glass with energetic notes of redcurrant jelly, black raspberries and crushed blackcurrants followed by sparks of bouquet garni, cinnamon stick and iron ore. The medium to full-bodied palate is chock-full of vibrant red and black fruits, framed by ripe, grainy tannins and tons of freshness, finishing on a lingering mineral note.“"
24,   Cà dei Frati   2019 Ronchedone Rosso Benaco Besciano IGT ," Cà dei Frati, Via Frati 22, 25019 Lugana di Sirmione ", Italien , Lombardei , Rotwein ,2019," Cabernet Sauvignon, Marzemino, Sangiovese ", IGT , 14.0 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , 2029+ , Naturkork , Wein Direktimport ," Pasta, Suppe, Wild ",Ronchedone und La Tür bei Desenzano del Garda,Kalkhaltige Lehmböden mit sandiger Auflage,"Zu Fleischgerichten, Wildgeflügel, Wild, Pasta mit Fleischsugo von Wild und Rind, kräftigen Fleischsuppen italienischer Art","Maischegärung im Edelstahltank, dann 14 Monate Ausbau im Barrique",,,,,,,,1," Der 2019 Ronchedone hat eine würzige, intensiv fruchtige Nase mit Aromen unter anderem von reifen Kirschen, Preiselbeeren, Cranberrys, Brombeeren und Hagebutte.Am Gaumen ist er sehr saftig, druckvoll und fordernd mit intensiven Fruchtaromen. Die gut eingebundene, erfrischende Säure und das präsente, aber reife und samtige Tanin machen den Genuß perfekt."
25,   Weingut Metzger   2019 Petit Noir trocken ," Weingut Metzger, Uli Metzger Langgasse 34, 67269 Grünstadt-Asselheim ", Deutschland , Pfalz , Rotwein ,2019,, Qualitätswein , 14.0 , trocken , Enthält Sulfite ,, 14 - 18 , 2027+ , Stelvin-Drehverschluß ,,,,,,,, 6.0 , 1.0 ,,,,,1,
26,"   Weingut Metzger   2019 Spätburgunder trocken ""Vom Kalkstein"" "," Weingut Metzger, Uli Metzger Langgasse 34, 67269 Grünstadt-Asselheim ", Deutschland , Pfalz , Rotwein ,2019, Blauer Spätburgunder/Pinot Noir/Pinot Nero , Qualitätswein ," 13,5 ", trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , 2027+ , Stelvin-Drehverschluß ,," Hirsch, Lammkeule, Rinderfilet, Rindersteaks ",,,,, etwa 1 Stunde , 5.3 , 0.4 ,,,,,1," In der Nase hat der elegante Wein die typischen Aromen reifer Waldbeeren, etwas Pflaume, im Hintergrund feiner, würziger Nelkenduft, ein Hauch Leder und eine ganz leichte erdig-mineralische Note. Am Gaumen wird das Aromenspiel derzeit von jugendlichen, dennoch feinen Gerbstoffen, feiner Säure und einer mittelkräftigen Struktur perfekt begleitet. Herrlich zum Filet  oder Steak vom Rind oder Hirschkalb. Dekantieren nicht vergessen, etwa 60 Minuten."
27,   Domaine de Bila Haut   2020 Les Vignes de Bila Haut Rouge ," Domaine de Bila Haut, 9 Rue Rampe du Sarrat F-66720 Latour-de-France ", Frankreich , Roussillon , Rotwein ,2020," Carignan, Grenache Noir, Syrah ", Côtes du Roussillon Villages , 14 , trocken , Enthält Sulfite , Cuve , 14 - 18 , bis 2028 , Kork , Wein Direktimport ," kraftvollen Speisen, Lamm, Rind ",Oberes Tal des Agly,Gneis und Schiefer,,"Maischegärung in der Cuve, Ausbau im Faß", etwa 30 Minuten ,,,,,,,1," Der 2020 Les Vignes de Bila Haut Rouge hat ein frisches rubinrot mit violetten Reflexen. In der Nase mit leicht rauchigen Aromen, begleitet von satten Schwarzkirsch-, Brombeer-, Himbeer- und Pflaumenaromen, dazu kommen milde Gewürze und eine feine Veilchenaromatik im Hintergrund.Am Gaumen ist er frisch, mit präsenten aber feinen Gerbstoffen, zupackend und würzig. Es ist ein wunderbarer Wein zu leichten Grilladen und Salami mit Knoblauch."
28,"   Domaine de Bila Haut   2018 L'esquerda, Côtes du Roussillon Villages Lesquerde "," Domaine de Bila Haut, 9 Rue Rampe du Sarrat F-66720 Latour-de-France ", Frankreich , Roussillon , Rotwein ,2017," Carignan, Grenache Noir, Syrah ", AOC , 15.5 , trocken , Enthält Sulfite , Betontank , 14 - 18 , bis 2025+ , Naturkork , Robert Parker ," kraftvollen Speisen, Käse, reif, Lamm, Rindersteaks ",,Granit,,, etwa 30 Minuten ,,,,,,,1," Joe Czerwinski, wine advocate, April 2018: „The full-bodied 2017 Cotes du Roussillon Villages Lesquerde l'Esquerda is wonderfully lush, welcoming and supple. Loaded with black cherries and crushed stone, this seductive number adds a dusting of cocoa powder on the long, slightly warm finish.“"
